Korean,English
시차 때문에 고생해본 적 있나요?,Have you ever suffered from jet lag?
외롭다고 느끼실 때가 있나요?,Do you ever feel alone?
널 위해 그것을 검색할계,Let me search it for you
나는 여행가고 싶은 기분이야,I feel like going on a trip
화장실이 어디인지 보여주시겠어요?,Will you show me where the restroom is?
살이 쪄서 속상해요,I'm upset that I gained weight
간식을 먹고 싶어요,I feel like having a snack
저랑 영화 보러 가실래요?,Will you go see the movie with me?
말을 행동으로 옮겨야 할 때야,It's time to translate words into action
너 빨리 서둘러야 할 것 같아,I think you should hurry up
여행에서 비오는 날들 괜찮아,I'm ok with rainy day on trip
커피 좀 마시려고요,I'm going to drink some coffee
친구가 항상 절 놀려서 속상해요,I'm upset that my friend always teasys me 
그가 우리에게 거짓말을 하지 않기를 바라요,다음
그녀는 취한 것 같아요,It seems that she is drunk
영어 실력을 향상시키기 위해 컬컴에 가입할 거예요,I'm going to join Culcom to improve my English skill
하루 종일 이걸 하고 있어,I have been doing this all day
네가 늦게 오면 시작을 놓칠 거야,If you are late, You will miss the beginning
네가 드디어 면허증을 따다니 기쁘다,I'm happy that you finally got driver's license
그는 같은 헬스장으로 다닌다고 말했어요,He said he goes to the same jym
나는 그런 상황에서 아니라고 말할 거야,I would say no in that situation
집에서 오전 5시 30분에 나와야 해,I have to leave my home at 5 30 am
셀카 찍는 것을 좋아해요,I like taking selfies
제게 그 사진을 보여주시겠어요?,Would you please show me the picture?
우리집으로 와서 저녁 먹을래?,Do you want to come to my home and have dinner?
이거 사기인 것 같아요,It seems that this is a scam
내가 무슨 말을 할 수 있겠어?,What can I say ?
이거 나중에 합시다,Let's do this later
차이점이 뭔가요?,What's the difference?
근무 중에 온라인 쇼핑을 할 때도 있나요?,Do you ever shop online at work?
같이 카페로 가는 거 어때요?,How about going to a cafe together?
그녀를 다시 만나면 같은 실수를 하지 않을 거예요,If I meet her again I will not make the same mistake
이야기 들려줘서 고마워요,Thank you for sharing the story
만약 로또에 당첨되면 너에게 말 안해줄 거야,If I win the lotery I will not tell you
쉬고 싶은 기분이다,I feel like taking a rest
결정을 내려야 할 때야,It's time to make a decision
당신의 환대에 고마워요,Thank you for your warm welcome
나는 당신에게 선물을 사줄 돈이 있어요,I have some money to buy you a present
그것을 편의점에서 사야 해요,I should buy it at a convenience store
그들의 온라인 서비스는 정말  빨라,I think their online service is very fast
그는 여자친구를 만들 것이라고 말했어요,He said He would get a girlfriend
모든 일에 신경써줘서 고마워요,Thank you for taking care of everything
설거지는 다 끝났어,I'm done with the dishes
침착하려 노력하고 있어,I'm trying to stay calm
지하철을 탈 것 같아요,I would take the subway
너의 연락처가 어떻게 돼?,What's your phone number?
그게 친구 좋다는 거야 (친구 좋다는게 이런거지),That's what freinds are for
친구들과 놀 때 보통 노래방을 가요,When I hang out with my friends , I usally go to a Karaoke
이 질문은 넘어가겠습니다,I'm going to skip this question
어떻게 같은 실수를 또 저지를 수 있어?,How could you make the same mistake again
내일 제가 당신을 집에 데려다주고 싶어요,I hope to walk you home tomorrow
내 실수를 인정하는 건 괜찮아,I'm ok with admitting my mistake
라면을 좀 끓이려고요,I'm going to cook some ramen
솔직히 난 그게 괜찮지 않아,I'm not ok with that to be honest
너는 그녀에게 사과해야해,I think you should  apologize to her
과거를 버려야 할 때야,It's time to let go of the past
차여본 적 있나요?,Have you ever dumped?
머리 염색하고 싶니?,Do you want to get your hair dyed?
음식을 주문했었는데요 맛 별로였어요,I orderd food, but it didn't taste good
너 병가내야 할 것 같아,I think you should call in sick
나 너무 피곤해서 집에 가서 쉬어야 할 것 같아,I should go home and rest because I'm so tired
내가 가장 좋아하는 책을 너에게 공유할게,Let me share my favorite book with you
4시에 나 데리러 와줄 거야?,Will you pick me up at 4 pm?
그녀는 못 온다고 말했어요,She said she couldn't come
잔돈을 안 받았어요,I didn't get my change
관심사가 뭐예요?,What's your interested?
침대 위에 누워있고 싶어요,I feel like laying in bed
소리 좀 작게 해주시겠어요?,Will you turn down the volume?
평소에 운동은 하시나요?,Do you ever exercise?
여행할 때 항상 사진을 SNS에 올려요,When I travel, I always post pictures to SNS
그게 없어서 화가 나요,I'm upset that I don't have it
내가 제일 좋아하는 장소를 소개할게,Let me show you my favorite spot
네가 취직했다니 기쁘다,I'm happy that you get a job
그녀와 화해하려 하고 있어요,I'm trying to make up with her
거울을 얼마나 자주 보세요?,How often do you look in the mirror?
부모님과는 얼마나 자주 이야기하시나요?,How often do you talk to your parents?
그렇게 생각할 때도 있나요?,Do you ever think like that?
멋진 카페에서 커피 마시고 싶어요,I feel like drinking some coffee at a nice cafe
물론이죠 내가 처리할 수 있어요,Sure, I can handle it
전 유튜브 보고 있어요 왜냐면 심심하거든요,I'm watching Yootube, because I'm bored
저는 세계 도처에 여행할 거예요,I would trable all over the world
택시를 어디서 잡을 수 있나요?,Where can I get a taxi?
얼마나 자주 택시를 타고 집에 가나요?,How often do you take a taxi home?
해외여행을 얼마나 자주 하시나요?,How often do you trevel abroad?
평소에 그에게 먼저 문자는 하시나요?,Do you ever text to him first?
저는 조금 어색할 것 같아요,I would feel a little awkward
더 오래 못 계신다니 안타까워요,I'm sorry that you can't stay longer
너에게 여행의 사진들을 보여줄게,Let me show you pictures of the trip
그게 내가 화가 난 이유야,That's why I'm upset
너의 감정들을 표현할 때야,It's time to express your feelings
저는 5년 동안 같은 회사를 다니고 있어요,I have been working for the same company for 5 years
당신에게 물어볼 것이 있어요,I have a something to ask
시간이 정말 빨리 날아가는 것 같아요,I think time really flies
물론이죠 다 먹을 수 있죠,Sure, I can finish the food
나는 노인들을 공경해야 해,I should respect the elderly
필라테스를 해 본 적 있어요?,Have you ever done pilates?
일찍 도착하면 카페에서 당신을 기다릴게요,If I arrived early, I will wait for you at the cafe
멍 때리는 것을 좋아해요,I like spacing out
통화는 다 끝났어,I'm done with my phone call
